OBJECTID,State,Ideology,FREQUENCY,COUNT_Ideology
1,Alabama,Anti-Immigrant,1,1
2,Alabama,Black Nationalist,5,5
3,Alabama,Ku Klux Klan,11,11
4,Alabama,Neo-Confederate,5,5
5,Alabama,Neo-Nazi,3,3
6,Alabama,White Nationalist,2,2
7,Arizona,Anti-Immigrant,2,2
8,Arizona,Anti-LGBT,4,4
9,Arizona,Anti-Muslim,3,3
10,Arizona,Black Nationalist,2,2
11,Arizona,General Hate,1,1
12,Arizona,Neo-Nazi,2,2
13,Arizona,Racist Skinhead,1,1
14,Arizona,White Nationalist,3,3
15,Arkansas,Anti-Muslim,1,1
16,Arkansas,Black Nationalist,1,1
17,Arkansas,Christian Identity,3,3
18,Arkansas,General Hate,3,3
19,Arkansas,Hate Music,1,1
20,Arkansas,Ku Klux Klan,4,4
21,Arkansas,Neo-Confederate,2,2
22,Arkansas,Racist Skinhead,1,1
23,California,Anti-Immigrant,2,2
24,California,Anti-LGBT,7,7
25,California,Anti-Muslim,10,10
26,California,Black Nationalist,15,15
27,California,General Hate,13,13
28,California,Hate Music,1,1
29,California,Holocaust Denial,3,3
30,California,Ku Klux Klan,4,4
31,California,Neo-Nazi,7,7
32,California,Neo-Volkisch,1,1
33,California,Racist Skinhead,8,8
34,California,Radical Traditional Catholicism,2,2
35,California,White Nationalist,6,6
36,Colorado,Anti-Immigrant,2,2
37,Colorado,Anti-LGBT,3,3
38,Colorado,Anti-Muslim,2,2
39,Colorado,Black Nationalist,2,2
40,Colorado,Christian Identity,1,1
41,Colorado,General Hate,1,1
42,Colorado,Hate Music,1,1
43,Colorado,Neo-Nazi,2,2
44,Colorado,Neo-Volkisch,1,1
45,Colorado,Racist Skinhead,1,1
46,Connecticut,Anti-Muslim,2,2
47,Connecticut,Black Nationalist,1,1
48,Connecticut,Neo-Nazi,1,1
49,Connecticut,White Nationalist,1,1
50,Delaware,Anti-Muslim,1,1
51,Delaware,Black Nationalist,1,1
52,Delaware,Ku Klux Klan,1,1
53,Delaware,Neo-Nazi,1,1
54,District of Columbia,Anti-Immigrant,3,3
55,District of Columbia,Anti-LGBT,3,3
56,District of Columbia,Anti-Muslim,4,4
57,District of Columbia,Black Nationalist,6,6
58,District of Columbia,General Hate,3,3
59,District of Columbia,White Nationalist,2,2
60,Florida,Anti-Immigrant,1,1
61,Florida,Anti-LGBT,3,3
62,Florida,Anti-Muslim,7,7
63,Florida,Black Nationalist,22,22
64,Florida,General Hate,3,3
65,Florida,Holocaust Denial,1,1
66,Florida,Ku Klux Klan,8,8
67,Florida,Neo-Confederate,4,4
68,Florida,Neo-Nazi,4,4
69,Florida,Neo-Volkisch,1,1
70,Florida,Racist Skinhead,5,5
71,Florida,White Nationalist,4,4
72,Georgia,Anti-LGBT,2,2
73,Georgia,Anti-Muslim,1,1
74,Georgia,Black Nationalist,13,13
75,Georgia,Christian Identity,1,1
76,Georgia,Ku Klux Klan,6,6
77,Georgia,Neo-Confederate,2,2
78,Georgia,Neo-Nazi,2,2
79,Georgia,Racist Skinhead,3,3
80,Georgia,White Nationalist,2,2
81,Idaho,Anti-Muslim,5,5
82,Idaho,Christian Identity,1,1
83,Idaho,General Hate,1,1
84,Idaho,Holocaust Denial,1,1
85,Idaho,Ku Klux Klan,1,1
86,Idaho,Neo-Nazi,1,1
87,Idaho,Racist Skinhead,2,2
88,Illinois,Anti-LGBT,5,5
89,Illinois,Anti-Muslim,2,2
90,Illinois,Black Nationalist,8,8
91,Illinois,Christian Identity,2,2
92,Illinois,Hate Music,2,2
93,Illinois,Ku Klux Klan,4,4
94,Illinois,Neo-Nazi,5,5
95,Illinois,Racist Skinhead,2,2
96,Illinois,White Nationalist,2,2
97,Indiana,Anti-LGBT,1,1
98,Indiana,Anti-Muslim,1,1
99,Indiana,Black Nationalist,2,2
100,Indiana,Ku Klux Klan,7,7
101,Indiana,Neo-Nazi,4,4
102,Indiana,Neo-Volkisch,1,1
103,Indiana,Racist Skinhead,4,4
104,Indiana,Radical Traditional Catholicism,1,1
105,Indiana,White Nationalist,5,5
106,Iowa,Anti-Muslim,1,1
107,Iowa,Neo-Nazi,2,2
108,Iowa,Neo-Volkisch,1,1
109,Kansas,Anti-LGBT,1,1
110,Kansas,Anti-Muslim,1,1
111,Kansas,Black Nationalist,1,1
112,Kansas,Neo-Nazi,1,1
113,Kansas,Racist Skinhead,2,2
114,Kansas,White Nationalist,1,1
115,Kentucky,Black Nationalist,4,4
116,Kentucky,Christian Identity,2,2
117,Kentucky,Hate Music,1,1
118,Kentucky,Ku Klux Klan,4,4
119,Kentucky,Neo-Confederate,4,4
120,Kentucky,Neo-Nazi,5,5
121,Kentucky,Racist Skinhead,3,3
122,Louisiana,Anti-Muslim,1,1
123,Louisiana,Black Nationalist,5,5
124,Louisiana,Christian Identity,1,1
125,Louisiana,Ku Klux Klan,2,2
126,Louisiana,Neo-Confederate,2,2
127,Louisiana,Neo-Nazi,2,2
128,Louisiana,White Nationalist,1,1
129,Maine,Anti-LGBT,1,1
130,Maine,Ku Klux Klan,1,1
131,Maine,Racist Skinhead,1,1
132,Maryland,Anti-Muslim,1,1
133,Maryland,Black Nationalist,3,3
134,Maryland,General Hate,1,1
135,Maryland,Hate Music,1,1
136,Maryland,Holocaust Denial,1,1
137,Maryland,Ku Klux Klan,2,2
138,Maryland,Neo-Confederate,2,2
139,Maryland,Neo-Nazi,2,2
140,Maryland,Racist Skinhead,3,3
141,Maryland,White Nationalist,2,2
142,Massachusetts,Anti-LGBT,2,2
143,Massachusetts,Anti-Muslim,1,1
144,Massachusetts,Black Nationalist,4,4
145,Massachusetts,General Hate,1,1
146,Massachusetts,Neo-Nazi,2,2
147,Massachusetts,Neo-Volkisch,1,1
148,Massachusetts,Racist Skinhead,1,1
149,Michigan,Anti-LGBT,1,1
150,Michigan,Anti-Muslim,4,4
151,Michigan,Black Nationalist,7,7
152,Michigan,Christian Identity,1,1
153,Michigan,Hate Music,1,1
154,Michigan,Holocaust Denial,1,1
155,Michigan,Ku Klux Klan,4,4
156,Michigan,Neo-Nazi,3,3
157,Michigan,Neo-Volkisch,1,1
158,Michigan,Racist Skinhead,1,1
159,Michigan,White Nationalist,4,4
160,Minnesota,Anti-Muslim,1,1
161,Minnesota,Black Nationalist,2,2
162,Minnesota,Christian Identity,1,1
163,Minnesota,General Hate,1,1
164,Minnesota,Hate Music,1,1
165,Minnesota,Ku Klux Klan,1,1
166,Minnesota,Neo-Volkisch,1,1
167,Minnesota,Racist Skinhead,1,1
168,Minnesota,Radical Traditional Catholicism,1,1
169,Mississippi,Anti-LGBT,1,1
170,Mississippi,Black Nationalist,3,3
171,Mississippi,Ku Klux Klan,8,8
172,Mississippi,Neo-Confederate,4,4
173,Mississippi,Neo-Nazi,1,1
174,Mississippi,White Nationalist,1,1
175,Missouri,Anti-LGBT,1,1
176,Missouri,Anti-Muslim,2,2
177,Missouri,Black Nationalist,5,5
178,Missouri,Christian Identity,1,1
179,Missouri,General Hate,1,1
180,Missouri,Ku Klux Klan,4,4
181,Missouri,Neo-Confederate,2,2
182,Missouri,Neo-Nazi,2,2
183,Missouri,Racist Skinhead,2,2
184,Missouri,White Nationalist,4,4
185,Montana,Anti-Muslim,5,5
186,Montana,White Nationalist,5,5
187,Nebraska,Black Nationalist,1,1
188,Nebraska,Christian Identity,1,1
189,Nebraska,Neo-Nazi,2,2
190,Nebraska,White Nationalist,1,1
191,Nevada,Black Nationalist,1,1
192,Nevada,General Hate,1,1
193,Nevada,Neo-Nazi,2,2
194,New Hampshire,Anti-Muslim,2,2
195,New Hampshire,Racist Skinhead,2,2
196,New Hampshire,Radical Traditional Catholicism,2,2
197,New Jersey,Black Nationalist,8,8
198,New Jersey,Hate Music,1,1
199,New Jersey,Ku Klux Klan,2,2
200,New Jersey,Neo-Nazi,1,1
201,New Jersey,Racist Skinhead,2,2
202,New Jersey,White Nationalist,1,1
203,New Mexico,General Hate,2,2
204,New York,Anti-Immigrant,1,1
205,New York,Anti-LGBT,2,2
206,New York,Anti-Muslim,7,7
207,New York,Black Nationalist,11,11
208,New York,General Hate,3,3
209,New York,Hate Music,2,2
210,New York,Holocaust Denial,1,1
211,New York,Ku Klux Klan,4,4
212,New York,Neo-Nazi,4,4
213,New York,Racist Skinhead,3,3
214,New York,Radical Traditional Catholicism,3,3
215,New York,White Nationalist,6,6
216,North Carolina,Anti-Immigrant,1,1
217,North Carolina,Anti-LGBT,1,1
218,North Carolina,Anti-Muslim,2,2
219,North Carolina,Black Nationalist,8,8
220,North Carolina,Ku Klux Klan,8,8
221,North Carolina,Neo-Confederate,3,3
222,North Carolina,Neo-Nazi,3,3
223,North Carolina,Racist Skinhead,4,4
224,North Carolina,White Nationalist,1,1
225,North Dakota,White Nationalist,1,1
226,Ohio,Anti-LGBT,4,4
227,Ohio,Anti-Muslim,5,5
228,Ohio,Black Nationalist,7,7
229,Ohio,Christian Identity,2,2
230,Ohio,Ku Klux Klan,6,6
231,Ohio,Neo-Nazi,4,4
232,Ohio,Racist Skinhead,3,3
233,Ohio,Radical Traditional Catholicism,1,1
234,Ohio,White Nationalist,3,3
235,Oklahoma,Anti-LGBT,1,1
236,Oklahoma,Black Nationalist,4,4
237,Oklahoma,Neo-Nazi,1,1
238,Oregon,Black Nationalist,4,4
239,Oregon,General Hate,2,2
240,Oregon,Hate Music,1,1
241,Oregon,Neo-Nazi,1,1
242,Oregon,Neo-Volkisch,1,1
243,Oregon,Racist Skinhead,2,2
244,Pennsylvania,Anti-LGBT,1,1
245,Pennsylvania,Anti-Muslim,2,2
246,Pennsylvania,Black Nationalist,8,8
247,Pennsylvania,General Hate,2,2
248,Pennsylvania,Hate Music,1,1
249,Pennsylvania,Holocaust Denial,1,1
250,Pennsylvania,Ku Klux Klan,7,7
251,Pennsylvania,Neo-Nazi,5,5
252,Pennsylvania,Racist Skinhead,6,6
253,Pennsylvania,Radical Traditional Catholicism,2,2
254,Pennsylvania,White Nationalist,5,5
255,Rhode Island,Neo-Volkisch,1,1
256,South Carolina,Anti-LGBT,1,1
257,South Carolina,Black Nationalist,3,3
258,South Carolina,Ku Klux Klan,2,2
259,South Carolina,Neo-Confederate,4,4
260,South Carolina,White Nationalist,2,2
261,South Dakota,Anti-Muslim,2,2
262,South Dakota,General Hate,3,3
263,South Dakota,Neo-Nazi,1,1
264,South Dakota,Racist Skinhead,1,1
265,Tennessee,Anti-Muslim,7,7
266,Tennessee,Black Nationalist,4,4
267,Tennessee,Christian Identity,1,1
268,Tennessee,Ku Klux Klan,11,11
269,Tennessee,Neo-Confederate,3,3
270,Tennessee,Neo-Nazi,5,5
271,Tennessee,Racist Skinhead,3,3
272,Tennessee,White Nationalist,4,4
273,Texas,Anti-LGBT,4,4
274,Texas,Anti-Muslim,6,6
275,Texas,Black Nationalist,14,14
276,Texas,Christian Identity,1,1
277,Texas,General Hate,2,2
278,Texas,Hate Music,1,1
279,Texas,Holocaust Denial,1,1
280,Texas,Ku Klux Klan,9,9
281,Texas,Neo-Confederate,4,4
282,Texas,Neo-Nazi,7,7
283,Texas,Neo-Volkisch,1,1
284,Texas,Racist Skinhead,1,1
285,Texas,White Nationalist,4,4
286,Utah,General Hate,1,1
287,Utah,Neo-Nazi,1,1
288,Utah,White Nationalist,1,1
289,Vermont,Neo-Nazi,1,1
290,Virginia,Anti-Immigrant,2,2
291,Virginia,Anti-LGBT,2,2
292,Virginia,Anti-Muslim,6,6
293,Virginia,Black Nationalist,5,5
294,Virginia,Christian Identity,1,1
295,Virginia,Ku Klux Klan,6,6
296,Virginia,Neo-Confederate,2,2
297,Virginia,Neo-Nazi,2,2
298,Virginia,Neo-Volkisch,1,1
299,Virginia,Racist Skinhead,4,4
300,Virginia,Radical Traditional Catholicism,2,2
301,Virginia,White Nationalist,6,6
302,Washington,Anti-Muslim,5,5
303,Washington,Black Nationalist,2,2
304,Washington,Christian Identity,1,1
305,Washington,Ku Klux Klan,2,2
306,Washington,Neo-Nazi,2,2
307,Washington,Neo-Volkisch,1,1
308,Washington,Racist Skinhead,5,5
309,Washington,White Nationalist,3,3
310,West Virginia,Ku Klux Klan,1,1
311,West Virginia,Neo-Nazi,2,2
312,West Virginia,Racist Skinhead,1,1
313,Wisconsin,Anti-LGBT,1,1
314,Wisconsin,Black Nationalist,1,1
315,Wisconsin,General Hate,1,1
316,Wisconsin,Hate Music,1,1
317,Wisconsin,Neo-Nazi,3,3
318,Wisconsin,White Nationalist,2,2
319,Wyoming,Neo-Nazi,1,1
320,Wyoming,Neo-Volkisch,1,1